OBJECTID;CODIGO_ACCIDENTADO;FORMULARIO;FECHA_OCURRENCIA_ACC;HORA_OCURRENCIA_ACC;ANO_OCURRENCIA_ACC;MES_OCURRENCIA_ACC;DIA_OCURRENCIA_ACC;FECHA_HORA_ACC;DIRECCION;CLASE_ACC;LOCALIDAD;CODIGO_VEHICULO;CONDICION;MUERTE_POSTERIOR;FECHA_POSTERIOR_MUERTE;GENERO;EDAD;CONDICION_A
68;14304163;AA1247082;1,36229E+12;11:20:00;2013;MARZO;DOMINGO;1,36233E+12;KR 7-CL164 02;ATROPELLO;USAQUEN;NA;PEATON;S;1,36237E+12;FEMENINO;75;PEATON
704;14297899;AA1249020;1,36358E+12;10:50:00;2013;MARZO;LUNES;1,36362E+12;AV AVENIDA BOYACA-KR 31 27;ATROPELLO;CIUDAD BOLIVAR;NA;PEATON;N;NA;MASCULINO;71;PEATON
933;14201199;AA0874129;1,29705E+12;9:30:00;2011;FEBRERO;LUNES;1,29709E+12;KR 20A-CL28 02;CAIDA DE OCUPANTE;TEUSAQUILLO;1;PASAJERO;S;1,29731E+12;FEMENINO;26;PASAJERO
1040;14181634;AA0883869;1,30569E+12;22:00:00;2011;MAYO;MIERCOLES;1,30577E+12;AV AVENIDA BOYACA-DG 51 S 02;CHOQUE;TUNJUELITO;1;PEATON;N;NA;MASCULINO;22;PEATON
1611;14181658;AA0878001;1,30025E+12;8:50:00;2011;MARZO;MIERCOLES;1,30028E+12;KR 29B-CL10 02;CHOQUE;LOS MARTIRES;1;CONDUCTOR;N;NA;MASCULINO;42;CONDUCTOR
1699;14194932;AA0935153;1,30811E+12;6:30:00;2011;JUNIO;MIERCOLES;1,30814E+12;KR 112-CL23D 02;CHOQUE;FONTIBON;2;CONDUCTOR;S;1,30846E+12;MASCULINO;43;CONDUCTOR
1901;14181741;AA00800228;1,29429E+12;9:30:00;2011;ENERO;JUEVES;1,29432E+12;KR 74A-CL 24B 10;OTRO;FONTIBON;1;PEATON;N;NA;MASCULINO;82;PEATON
2013;14187802;AA0874109;1,29714E+12;14:10:00;2011;FEBRERO;MARTES;1,29719E+12;KR 87D-CL53 S 02;CAIDA DE OCUPANTE;BOSA;1;PASAJERO;S;1,29801E+12;FEMENINO;68;PASAJERO
2347;14193219;AA0935108;1,30777E+12;20:10:00;2011;JUNIO;SABADO;1,30784E+12;AC 13-KR72 02;CAIDA DE OCUPANTE;FONTIBON;1;PASAJERO;S;1,30777E+12;MASCULINO;32;PASAJERO
2428;14193707;AA0884802;1,30673E+12;13:30:00;2011;MAYO;LUNES;1,30678E+12;AK 30-CL51 02;CHOQUE;TEUSAQUILLO;2;CONDUCTOR;S;1,3069E+12;MASCULINO;24;CONDUCTOR
