OBJECTID,CODIGO_ACCIDENTADO,FORMULARIO,FECHA_OCURRENCIA_ACC,HORA_OCURRENCIA_ACC,ANO_OCURRENCIA_ACC,MES_OCURRENCIA_ACC,DIA_OCURRENCIA_ACC,FECHA_HORA_ACC,DIRECCION,CLASE_ACC,LOCALIDAD,CODIGO_VEHICULO,CONDICION,MUERTE_POSTERIOR,FECHA_POSTERIOR_MUERTE,GENERO,EDAD,CONDICION_A,x,y
766450,2521782,A000280321,1451797200000,19:45:00,2016,ENERO,DOMINGO,1451868300000,KR 26-CL 71H S 09,CHOQUE,CIUDAD BOLIVAR,2,PASAJERO,NA,NA,SIN INFORMACION,NA,PASAJERO,-74.158400739,4.550256233000027
772387,2522661,A000280828,1452574800000,09:00:00,2016,ENERO,MARTES,1452607200000,CL 80-KR 112A 02,CHOQUE,ENGATIVA,2,CICLISTA,S,1452661200000,MASCULINO,64,CICLISTA,-74.11962951599997,4.719475437000028
773596,2522175,A000280975,1452229200000,09:45:00,2016,ENERO,VIERNES,1452264300000,CL 2B-KR 38A 32,ATROPELLO,PUENTE ARANDA,NA,PEATON,NA,NA,MASCULINO,1,PEATON,-74.11037687800001,4.608609269999988
774678,2521499,A000279268,1451624400000,19:25:00,2016,ENERO,VIERNES,1451694300000,AK 10-CL 0 S 85,CAIDA DE OCUPANTE,ANTONIO NARINO,1,PASAJERO,NA,NA,MASCULINO,26,PASAJERO,-74.09334275399999,4.577571740999986
774713,2521532,A000280590,1451797200000,05:30:00,2016,ENERO,DOMINGO,1451817000000,CL 22-KR 10A S 51,ATROPELLO,ANTONIO NARINO,NA,PEATON,NA,NA,MASCULINO,32,PEATON,-74.09570000000002,4.5767999999999915
775589,2521510,A000280915,1451710800000,19:40:00,2016,ENERO,SABADO,1451781600000,AC 24-KR 60 02,CHOQUE,TEUSAQUILLO,2,MOTOCICLISTA,N,NA,MASCULINO,32,MOTOCICLISTA,-74.10263395800001,4.6449705429999995
775599,2521520,A000280322,1451797200000,06:42:00,2016,ENERO,DOMINGO,1451821320000,CL 127-KR 14 02,CHOQUE,USAQUEN,1,MOTOCICLISTA,N,NA,MASCULINO,37,MOTOCICLISTA,-74.040927796,4.7038692660000265
775676,2522325,A000280491,1452315600000,20:20:00,2016,ENERO,SABADO,1452388800000,AK 14-CL 11 02,ATROPELLO,LOS MARTIRES,NA,PEATON,NA,NA,MASCULINO,23,PEATON,-74.08109999999999,4.602199999999982
775681,2522330,A000281159,1452402000000,11:20:00,2016,ENERO,DOMINGO,1452442800000,CL 20-KR 16 03,ATROPELLO,LOS MARTIRES,NA,PEATON,NA,NA,FEMENINO,63,PEATON,-74.07705913500001,4.6105839250000145
775687,2522336,A000280490,1452315600000,07:45:00,2016,ENERO,SABADO,1452343500000,AK 30-CL 19 02,CHOQUE,LOS MARTIRES,1,MOTOCICLISTA,N,NA,MASCULINO,35,MOTOCICLISTA,-74.0881,4.6182999999999765
775699,2522347,A000280914,1452315600000,20:50:00,2016,ENERO,SABADO,1452390600000,AK 15-CL 106 98,ATROPELLO,USAQUEN,NA,PEATON,NA,NA,SIN INFORMACION,NA,PEATON,-74.04508164700002,4.691784197000004
775762,2522409,A000281306,1452402000000,15:50:00,2016,ENERO,DOMINGO,1452459000000,DG 50-TR 14D SE 02,ATROPELLO,SAN CRISTOBAL,NA,PEATON,S,1452402000000,FEMENINO,66,PEATON,-74.08538202300002,4.533582208999974
