fecha_mes,muertos,lesionados
2007-01-01,48,2230
2007-02-01,68,2352
2007-03-01,86,2424
2007-04-01,56,2330
2007-05-01,80,2382
2007-06-01,86,2282
2007-07-01,60,2128
2007-08-01,90,2440
2007-09-01,90,2250
2007-10-01,62,2264
2007-11-01,74,2150
2007-12-01,58,2206
2008-01-01,56,1852
2008-02-01,52,1784
2008-03-01,74,1636
2008-04-01,54,1860
2008-05-01,76,1950
2008-06-01,32,1692
2008-07-01,36,1566
2008-08-01,34,1372
2008-09-01,46,1316
2008-10-01,46,1384
2008-11-01,58,1700
2008-12-01,70,1736
2009-01-01,52,1266
2009-02-01,66,1378
2009-03-01,64,1474
2009-04-01,50,1334
2009-05-01,62,1592
2009-06-01,66,1322
2009-07-01,72,1376
2009-08-01,44,1436
2009-09-01,60,1536
2009-10-01,68,1544
2009-11-01,54,1564
2009-12-01,42,1710
2010-01-01,64,1630
2010-02-01,48,1936
2010-03-01,66,2210
2010-04-01,102,1702
2010-05-01,48,2566
2010-06-01,64,2392
2010-07-01,90,2066
2010-08-01,62,2164
2010-09-01,72,2077
2010-10-01,76,2054
2010-11-01,56,1859
2010-12-01,70,2104
2011-01-01,58,1636
2011-02-01,72,1864
2011-03-01,84,2374
2011-04-01,86,2222
2011-05-01,90,2190
2011-06-01,48,1904
2011-07-01,86,2104
2011-08-01,66,2328
2011-09-01,92,2170
2011-10-01,74,2228
2011-11-01,72,2056
2011-12-01,66,2046
2012-01-01,56,1822
2012-02-01,82,2456
2012-03-01,74,2580
2012-04-01,90,2154
2012-05-01,84,2376
2012-06-01,62,2046
2012-07-01,66,2100
2012-08-01,68,2274
2012-09-01,98,2306
2012-10-01,70,2284
2012-11-01,62,2244
2012-12-01,80,2306
2013-01-01,78,2224
2013-02-01,44,2245
2013-03-01,76,2262
2013-04-01,64,2190
2013-05-01,74,2278
2013-06-01,58,2070
2013-07-01,78,2152
2013-08-01,56,1926
2013-09-01,82,2002
2013-10-01,72,2346
2013-11-01,74,2112
2013-12-01,86,2086
2014-01-01,82,1780
2014-02-01,76,2012
2014-03-01,92,2212
2014-04-01,82,2096
2014-05-01,66,2246
2014-06-01,60,1870
2014-07-01,84,2219
2014-08-01,68,2240
2014-09-01,106,2248
2014-10-01,80,1982
2014-11-01,120,2006
2014-12-01,96,1814
2015-01-01,68,1770
2015-02-01,64,2096
2015-03-01,70,2294
2015-04-01,108,2165
2015-05-01,118,2410
2015-06-01,76,2008
2015-07-01,92,2418
2015-08-01,80,2426
2015-09-01,104,2564
2015-10-01,100,2542
2015-11-01,94,1909
2015-12-01,114,1956
2016-01-01,96,1924
2016-02-01,76,2090
2016-03-01,106,2120
2016-04-01,90,2214
2016-05-01,104,2320
2016-06-01,112,2294
2016-07-01,94,2142
2016-08-01,116,2401
2016-09-01,96,2480
2016-10-01,102,2552
2016-11-01,84,2296
2016-12-01,96,2041
2017-01-01,72,1890
2017-02-01,110,2283
2017-03-01,76,2327
2017-04-01,81,1962
2017-05-01,102,2349
2017-06-01,96,2054
2017-07-01,90,2289
2017-08-01,104,2514
2017-09-01,84,2423
2017-10-01,84,2630
2017-11-01,83,2502
2017-12-01,112,2451
2018-01-01,68,2114
2018-02-01,88,2464
2018-03-01,92,2803
2018-04-01,92,2967
2018-05-01,90,2890
2018-06-01,104,2936
2018-07-01,100,3036
2018-08-01,78,3149
2018-09-01,74,2735
2018-10-01,82,3146
2018-11-01,86,2958
2018-12-01,76,2924
2019-01-01,50,2688
2019-02-01,76,2810
2019-03-01,94,3408
2019-04-01,78,2816
2019-05-01,94,3180
2019-06-01,80,2954
2019-07-01,108,2916
2019-08-01,78,2848
2019-09-01,86,2951
2019-10-01,114,2700
2019-11-01,66,2430
2019-12-01,87,2584
2020-01-01,56,2250
2020-02-01,76,2681
2020-03-01,50,1991
2020-04-01,44,816
2020-05-01,36,1400
2020-06-01,44,1730
2020-07-01,41,1929
2020-08-01,62,1974
2020-09-01,68,2230
2020-10-01,71,2796
2020-11-01,65,2705
2020-12-01,68,2491
2021-01-01,30,969
2021-02-01,37,1351
2021-03-01,36,1679
2021-04-01,31,1245
2021-05-01,35,1398
2021-06-01,44,1400
2021-07-01,44,1535
2021-08-01,46,1662
2021-09-01,43,1746
2021-10-01,37,1842
2021-11-01,39,1781
2021-12-01,48,1761
2022-01-01,39,1391
2022-02-01,40,1608
2022-03-01,51,1938
2022-04-01,48,1636
2022-05-01,43,1939
2022-06-01,43,1774
2022-07-01,53,1800
2022-08-01,46,2025
2022-09-01,44,1974
2022-10-01,53,1872
2022-11-01,48,1718
2022-12-01,52,1825
2023-01-01,51,1652
2023-02-01,49,2009
2023-03-01,44,1931
2023-04-01,40,1823
2023-05-01,47,1900
2023-06-01,55,2019
2023-07-01,41,1860
2023-08-01,48,2018
2023-09-01,46,1977
2023-10-01,51,1881
2023-11-01,52,1960
2023-12-01,40,1939
2024-01-01,57,1708
2024-02-01,52,1889
2024-03-01,49,1991
2024-04-01,46,1916
2024-05-01,47,2040
2024-06-01,52,1639
2024-07-01,36,1812
2024-08-01,43,1945
2024-09-01,48,1958
2024-10-01,54,2024
2024-11-01,51,1776
2024-12-01,63,1967
2025-01-01,51,1583
2025-02-01,37,1710
2025-03-01,54,1659
2025-04-01,45,1608
2025-05-01,41,1575
2025-06-01,49,1414
2025-07-01,58,1575
2025-08-01,54,1767
2025-09-01,46,1839
2025-10-01,60,1683
2025-11-01,37,1571
2025-12-01,41,1504
2026-01-01,28,1190
2026-02-01,3,5
